IB		Equity		Deposits		Withdrawls		Volume		OpenProfit		ClosedProfit		Commissions
106770		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
108258		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
63032		25.160000		0.000000		0.000000		164.000000		0.000000		-20.950001		0.000000
39309		5.140000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
31323		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
31420		355.510010		0.000000		0.000000		22445.000000		0.000000		129.850006		0.000000
118476		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
17100		5.910000		0.000000		0.000000		35924.000000		0.000000		0.000000		0.000000
75572		11150.809570		0.000000		0.000000		7681.000000		0.000000		0.000000		0.000000
39069		61.700001		0.000000		0.000000		14.000000		0.000000		0.000000		0.000000
52708		5.390000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
77923		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
43074		1814.770020		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
23567		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
17934		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
40248		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
115023		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
22040		0.740000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
121724		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
34328		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
115875		0.000000		0.000000		0.000000		1809.000000		0.000000		0.000000		0.000000
126010		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
20702		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
38283		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
59151		1.490000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
82261		0.000000		0.000000		0.000000		16172.000000		0.000000		0.000000		0.000000
119195		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
91294		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
76155		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
49736		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
128654		0.000000		0.000000		0.000000		206343.000000		-203561.125000		1384.149902		0.000000
20834		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
39888		55.970001		0.000000		0.000000		7.000000		0.000000		0.000000		0.000000
74153		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
18536		2.000000		0.000000		0.000000		20.000000		0.000000		0.000000		0.000000
21850		389.750000		0.000000		0.000000		1.000000		0.000000		0.000000		0.000000
19961		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
110491		0.000000		0.000000		0.000000		19.000000		0.000000		0.000000		0.000000
58270		0.000000		0.000000		0.000000		1021.000000		0.000000		0.000000		0.000000
22975		71.550003		0.000000		0.000000		3.000000		0.000000		0.000000		0.000000
15010		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
12708		472.700012		0.000000		0.000000		4.000000		0.000000		0.000000		0.000000
105750		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
119818		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
90524		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
124860		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
87869		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
110677		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
120651		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
75652		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
19154		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
96079		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
80443		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
103280		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
32316		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
71728		0.000000		0.000000		0.000000		79292.000000		0.000000		0.000000		0.000000
12644		0.000000		0.000000		0.000000		20420.000000		0.000000		0.000000		0.000000
124303		0.000000		0.000000		0.000000		4.000000		0.000000		0.000000		0.000000
47812		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
32909		391.619995		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
104977		0.000000		0.000000		0.000000		303.000000		0.000000		0.000000		0.000000
75564		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
27036		3.790000		0.000000		0.000000		3.000000		0.000000		0.000000		0.000000
128231		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
91241		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
96082		0.000000		0.000000		0.000000		24147.000000		-146.929993		69.860001		0.000000
62673		83.180000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
121403		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
13883		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
95955		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
88812		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
44575		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
13261		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
20156		101.760002		0.000000		0.000000		49.000000		0.000000		0.000000		0.000000
22524		1266.489990		0.000000		0.000000		801.000000		0.000000		0.000000		0.000000
43665		111.809998		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
38994		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
23362		111.339996		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
17365		0.360000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
76625		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
11578		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
20734		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
14066		0.000000		0.000000		0.000000		2.000000		0.000000		0.000000		0.000000
122476		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
70493		0.000000		0.000000		0.000000		4.000000		0.000000		0.000000		0.000000
91884		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
89408		0.000000		0.000000		0.000000		8.000000		0.000000		0.000000		0.000000
24278		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
124597		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
11886		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
51979		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
20461		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
112336		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
30269		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
99585		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
46948		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
13337		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
19611		0.000000		0.000000		0.000000		88.000000		0.000000		0.000000		0.000000
113389		0.000000		0.000000		0.000000		3838.000000		-1689.030029		0.000000		0.000000
110073		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
125078		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
54528		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
88501		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
114637		0.000000		0.000000		0.000000		4.000000		0.000000		0.000000		0.000000
18062		1.040000		0.000000		0.000000		585.000000		31.090000		0.000000		0.000000
103519		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
92877		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
40775		9.230000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
103113		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000		0.000000
